Retailer,StoreID,StoreName,StoreAddress,StoreCity,StoreState,Zipcode,Country,Latitude,Longitude,Phone
"Jollibee FoodPanda","75068","Jollibee - Baguio Bonifacio","University Belt Martan Building Bonifacio Street Baguio Barangay Salud Mitra Lone District","Baguio","BEN","2600","PH","16.4187303","120.5968961","+639778222323"
"Jollibee FoodPanda","19138","Jollibee - Gensan Calumpang DT","Corner Purok Villanueva, National Highway, Brgy. Calumpang, General Santos City","General Santos City","SOU","9500","PH","6.0771208","125.14575675","+639224261427"
"Jollibee FoodPanda","18441","Jollibee - Imperial Legaspi","F. Imperial street. Legazpi city Brgy. 37 bitano legazpi city 4500","Legazpi City","ALB","4500","PH","13.14591275","123.75092535","+639951118360"
"Jollibee FoodPanda","44178","Jollibee - Naga Magsaysay","Magsaysay Avenue Barangay Balatas 3rd District","Naga Camarines","CAM","4400","PH","13.63175388","123.1962578","+639190665924"
"Jollibee FoodPanda","19163","Jollibee - Baguio Upper Session Road Ext.","Lot3 Utility Road ,Upper Session extension,Engineers Hill","Baguio","BEN","2600","PH","16.4053315","120.6024097","+639056716413"
"Jollibee FoodPanda","77984","Jollibee - Zamboanga Sta. Cruz","Lobregat Highway Tetuan-Maria Clara Lorenzo Barangay Tetuan 2nd District","Zamboanga","ZAM","7000","PH","6.9219446","122.0797509","+639054359675"
"Jollibee FoodPanda","19162","Jollibee - Baguio Legarda","Legarda Road, Barangay Rizal Monument","Baguio","BEN","2600","PH","16.411334","120.59089802","+639217355478"
"Jollibee FoodPanda","18598","Jollibee - Zambo Camins","Gov. Camins Road cor Canelar St.","Zamboanga","ZAM","7000","PH","6.92091585","122.07278895","+639688934510"
"Jollibee FoodPanda","19139","Jollibee - Gensan Highway","National Gensan Highway","General Santos City","SOU","9500","PH","6.11871023","125.1788921","+639171461546"
"Jollibee FoodPanda","19155","Jollibee - Yubengco Starmall","Yubengco Starmall, Putik","Zamboanga","ZAM","7001","PH","6.9355487","122.092435","+639481263780"
"Jollibee FoodPanda","19133","Jollibee - CDO Mastersons Avenue","Masterson Avenue Lots 11, 12, 13, Blk 1, Xavier Estates, Balulang","Cagayan De Oro Misamis","MIS","9000","PH","8.44976752","124.62294924","+639914006897"
